ID	Demand	x	y	Fcand	Fcost	Fcap
1	77	499796.4063	3855126.75	0	0	0
2	76	499987.8125	3855126.75	0	0	0
3	76	500178.4688	3855126.75	0	0	0
4	75	500368.1563	3855126.75	0	100000000	50000
5	76	499796.4063	3855358.75	0	0	0
6	76	499987.8125	3855358.75	0	0	0
7	76	500178.4688	3855358.75	0	0	0
8	75	500368.1563	3855358.75	0	0	0
9	76	499796.4063	3855589.75	0	0	0
10	76	499987.8125	3855589.75	0	0	0
11	76	500178.4688	3855589.75	0	0	0
12	75	500368.1563	3855589.75	0	0	0
13	76	499796.4063	3855820	0	0	0
14	75	499987.8125	3855820	0	0	0
15	75	500178.4688	3855820	0	0	0
16	74	500368.125	3855820	0	0	0
17	194	503608.9063	3855127.25	0	0	0
18	191	503801.2813	3855127.25	0	0	0
19	191	503991.9375	3855127.25	0	100000000	50000
20	187	504180.8438	3855127.25	0	0	0
21	194	503608.875	3855358.75	0	0	0
22	190	503801.2813	3855358.75	0	0	0
23	190	503991.9688	3855358.75	0	0	0
24	186	504180.7813	3855358.75	0	0	0
25	194	503608.8125	3855589.75	0	0	0
26	190	503801.2813	3855589.75	0	0	0
27	190	503991.9688	3855589.75	0	0	0
28	186	504180.75	3855589.75	0	0	0
29	193	503608.7813	3855820.5	0	0	0
30	189	503801.2813	3855820.5	0	0	0
31	189	503991.9688	3855820.5	0	100000000	50000
32	186	504180.6875	3855820.5	0	0	0
33	77	495983.7188	3855127.25	0	0	0
34	77	496174.3438	3855127.25	0	0	0
35	77	496365	3855127.25	0	0	0
36	77	496555.6563	3855127	0	100000000	50000
37	77	495983.7813	3855358.75	0	0	0
38	77	496174.3125	3855358.75	0	0	0
39	77	496365	3855358.75	0	0	0
40	77	496555.6875	3855358.75	0	0	0
41	77	495983.8125	3855589.75	0	0	0
42	77	496174.3125	3855589.75	0	0	0
43	77	496365	3855589.75	0	0	0
44	77	496555.7188	3855589.75	0	0	0
45	77	495983.875	3855820.5	0	0	0
46	77	496174.3125	3855820.5	0	0	0
47	77	496365	3855820.5	0	0	0
48	77	496555.7813	3855820.5	0	0	0
49	87	496555	3850273	0	0	0
50	88	496174.3125	3850504.25	0	0	0
51	88	496365	3850504.25	0	0	0
52	87	496554.8125	3850504.25	0	0	0
53	89	495982.7188	3850735.5	0	0	0
54	88	496174.3125	3850735.5	0	0	0
55	88	496365	3850735.5	0	0	0
56	87	496554.8438	3850735.5	0	0	0
57	89	495982.7813	3850966.5	0	0	0
58	88	496174.3125	3850966.5	0	0	0
59	88	496365	3850966.5	0	100000000	50000
60	87	496554.875	3850966.5	0	0	0
61	89	495982.8438	3851197.75	0	0	0
62	88	496174.3125	3851197.75	0	0	0
63	88	496365	3851197.75	0	0	0
64	87	496554.9375	3851197.75	0	0	0
65	193	499796.3125	3850504	0	0	0
66	192	499987.8125	3850504	0	0	0
67	192	500178.4688	3850504	0	0	0
68	190	500368.2813	3850504	0	0	0
69	193	499796.3125	3850735.5	0	0	0
70	191	499987.8125	3850735.5	0	0	0
71	191	500178.4688	3850735.5	0	0	0
72	189	500368.2813	3850735.5	0	0	0
73	193	499796.3438	3850966.5	0	0	0
74	191	499987.8125	3850966.5	0	0	0
75	191	500178.4688	3850966.5	0	0	0
76	189	500368.25	3850966.5	0	100000000	50000
77	192	499796.3438	3851197.5	0	0	0
78	190	499987.8125	3851197.5	0	0	0
79	190	500178.4688	3851197.5	0	0	0
80	189	500368.25	3851197.5	0	0	0
81	453	503609.7813	3850504.25	0	0	0
82	449	503801.2813	3850504.25	0	0	0
83	449	503991.9375	3850504.25	0	0	0
84	445	504181.9063	3850504.25	0	0	0
85	453	503609.75	3850735.5	0	0	0
86	449	503801.2813	3850735.5	0	0	0
87	449	503991.9688	3850735.5	0	0	0
88	446	504181.875	3850735.5	0	0	0
89	453	503609.7188	3850966.5	0	0	0
90	449	503801.2813	3850966.5	0	0	0
91	449	503991.9688	3850966.5	0	100000000	90000
92	445	504181.8125	3850966.5	0	0	0
93	454	503609.6563	3851197.75	0	0	0
94	449	503801.2813	3851197.75	0	0	0
95	449	503991.9688	3851197.75	0	0	0
96	445	504181.75	3851197.75	0	0	0
97	362	507423.4375	3850505.5	0	0	0
98	359	507614.75	3850505.5	0	0	0
99	359	507805.4063	3850505.5	0	0	0
100	356	507995.5625	3850505.5	0	0	0
101	366	507423.3438	3850735.5	0	0	0
102	363	507614.75	3850735.5	0	0	0
103	363	507805.4375	3850735.5	0	0	0
104	360	507995.4688	3850735.5	0	0	0
105	366	507423.25	3850966.75	0	0	0
106	363	507614.75	3850966.5	0	0	0
107	363	507805.4375	3850966.5	0	100000000	70000
108	360	507995.375	3850966.5	0	0	0
109	370	507423.1875	3851199	0	0	0
110	367	507614.7813	3851199	0	0	0
111	367	507805.4375	3851199	0	0	0
112	364	507995.2813	3851199	0	0	0
113	26	507424.2813	3848425.25	0	0	0
114	26	507614.7813	3848425.25	0	0	0
115	26	507805.4375	3848425.25	0	0	0
116	26	507996.5	3848425.25	0	0	0
117	25	507424.5313	3847732	0	0	0
118	25	507614.75	3847732	0	100000000	50000
119	25	507805.4063	3847732	0	0	0
120	25	507996.7813	3847732	0	0	0
121	26	507424.4375	3847961.5	0	0	0
122	26	507614.75	3847961.5	0	0	0
123	26	507805.4375	3847961.5	0	0	0
124	26	507996.6875	3847961.5	0	0	0
125	26	507424.375	3848192.75	0	0	0
126	26	507614.75	3848192.75	0	0	0
127	26	507805.4375	3848192.75	0	0	0
128	26	507996.5938	3848192.75	0	0	0
129	95	505898.6875	3848424.5	0	0	0
130	95	506089.375	3848424.75	0	0	0
131	95	506280.0625	3848424.75	0	0	0
132	95	506470.7188	3848424.75	0	0	0
133	93	505898.875	3847731.25	0	0	0
134	93	506089.3438	3847731.25	0	0	0
135	93	506280.0313	3847731.5	0	0	0
136	93	506470.9375	3847731.5	0	0	0
137	94	505898.8125	3847961.5	0	100000000	50000
138	94	506089.375	3847961.5	0	0	0
139	94	506280.0313	3847961.5	0	0	0
140	94	506470.875	3847961.5	0	0	0
141	94	505898.75	3848192.75	0	0	0
142	94	506089.375	3848192.75	0	0	0
143	94	506280.0313	3848192.75	0	0	0
144	94	506470.7813	3848192.75	0	0	0
145	31	503610.1875	3848424	0	0	0
146	30	503801.2813	3848424	0	0	0
147	30	503991.9688	3848424	0	0	0
148	30	504182.4063	3848424	0	0	0
149	30	503610.3125	3847730.75	0	0	0
150	30	503801.2813	3847730.75	0	0	0
151	30	503991.9375	3847730.75	0	0	0
152	30	504182.5625	3847730.75	0	100000000	50000
153	30	503610.2813	3847961.5	0	0	0
154	30	503801.2813	3847961.5	0	0	0
